epoch,accuracy,loss,val_accuracy,val_loss
0,0.032375190407037735,5.189332008361816,0.07334525883197784,4.638187408447266
1,0.18033282458782196,3.9965250492095947,0.23971377313137054,3.4635963439941406
2,0.37897124886512756,3.022658109664917,0.42576029896736145,2.5619659423828125
3,0.5461422204971313,2.2670059204101562,0.5462134480476379,2.0240023136138916
4,0.6611195206642151,1.7232533693313599,0.6255217790603638,1.593742847442627
5,0.7438729405403137,1.3512762784957886,0.6553369164466858,1.4218453168869019
6,0.7912254333496094,1.0782911777496338,0.7161598205566406,1.1517071723937988
7,0.8363085985183716,0.8897781372070312,0.7382230162620544,0.9931317567825317
8,0.861422061920166,0.7373960018157959,0.7763863801956177,0.8882160782814026
9,0.8898638486862183,0.6192246675491333,0.7847346663475037,0.8291060924530029
10,0.9096822738647461,0.5255513787269592,0.7924866080284119,0.7739037275314331
11,0.922541618347168,0.44767293334007263,0.8026237487792969,0.7289972305297852
12,0.9368961453437805,0.384803831577301,0.8205128312110901,0.675809919834137
13,0.9462934732437134,0.3323313593864441,0.8258795738220215,0.6769918203353882
14,0.9553706645965576,0.29280802607536316,0.8252832293510437,0.6723695993423462
15,0.9582450985908508,0.2670033872127533,0.8366129994392395,0.613934338092804
16,0.9658094048500061,0.2342829406261444,0.8312462568283081,0.6226473450660706
17,0.9668684005737305,0.22066262364387512,0.8419797420501709,0.5915603041648865
18,0.9738275408744812,0.1937454342842102,0.8407871127128601,0.6001044511795044
19,0.9765506982803345,0.17832699418067932,0.8479427695274353,0.5808020234107971
20,0.9739788174629211,0.16861696541309357,0.8437686562538147,0.5692799687385559
21,0.9824508428573608,0.14805489778518677,0.8533094525337219,0.5583174824714661
22,0.9829046726226807,0.13255727291107178,0.8455575704574585,0.558208703994751
23,0.9830559492111206,0.12724225223064423,0.8503279685974121,0.5418391227722168
24,0.9847201108932495,0.11824522912502289,0.8497316837310791,0.5747935175895691
25,0.988804817199707,0.10576525330543518,0.8395945429801941,0.5745009183883667
26,0.9874432682991028,0.1057252287864685,0.8515205979347229,0.5281701683998108
27,0.9868381023406982,0.10096979141235352,0.8509242534637451,0.537071943283081
28,0.9874432682991028,0.09308531135320663,0.8574836254119873,0.5142397284507751
29,0.9909228682518005,0.08495516330003738,0.8562909960746765,0.5193465352058411
30,0.9900151491165161,0.08490966260433197,0.8431723117828369,0.5743733644485474
31,0.9897125363349915,0.08117078989744186,0.8509242534637451,0.5638839602470398
32,0.9906202554702759,0.07857193052768707,0.8550983667373657,0.5370196104049683
33,0.9919818639755249,0.07392513751983643,0.8497316837310791,0.537036657333374
34,0.9927382469177246,0.07165040075778961,0.8592725396156311,0.527031421661377
35,0.9927382469177246,0.07000944763422012,0.8550983667373657,0.5300942063331604
36,0.9921331405639648,0.0669962540268898,0.8634466528892517,0.5230300426483154
